"W07","337029","32 ACACIA AVE ","AVE","32","ACACIA"
"W07","337031","38 ACACIA AVE ","AVE","38","ACACIA"
"W07","337032","40 ACACIA AVE ","AVE","40","ACACIA"
"W07","327324","9 ADELE AVE ","AVE","9","ADELE"
"W07","709050","190 ALBANY RD ","RD","190","ALBANY"
"W07","656323","10 ALDWINCKLE HTS ","HTS","10","ALDWINCKLE"
"W07","333053","7 ALLOY CRT ","CRT","7","ALLOY"
"W07","336769","19 ANN ARBOUR RD ","RD","19","ANN ARBOUR"
"W07","336758","34 ANN ARBOUR RD ","RD","34","ANN ARBOUR"
"W07","336780","41 ANN ARBOUR RD ","RD","41","ANN ARBOUR"
"W07","743680","7 APPLEBAUM TER ","TER","7","APPLEBAUM"
"W07","743679","9 APPLEBAUM TER ","TER","9","APPLEBAUM"
